movie_id,description,language,rating,writer,director,cast,genre,name,,,,,
tt5286444,Neerja is the story of the courageous Neerja Bhanot who sacrificed her life while protecting the lives of 359 passengers on the Pan Am flight 73 in 1986. The flight was hijacked by a terrorist organization., Hindi ,7.9, Saiwyn Quadras Sanyukta Shaikh Chawla ,"[ ""Ram Madhvani"" ]", Sonam Kapoor Shabana Azmi Yogendra Tikku Abrar Zahoor Jim Sarbh Ali Baldiwala Vikrant Singta Kirti Adarkar Parth Akerkar Hayder Ali Arjun Aneja Bobby Arora Rohit Assija Sabreen Baker Freny Bhagat ," ""Biography"", ""Drama"", ""Thriller"" ",Neerja,,,,,
tt4434004,A story that revolves around drug abuse in the affluent north Indian State of Punjab and how the youth there have succumbed to it en-masse resulting in a socio-economic decline., Hindi Panjabi ,7.9, Sudip Sharma Abhishek Chaubey ,"[ ""Abhishek Chaubey"" ]", Alia Bhatt Shahid Kapoor Diljit Dosanjh Kareena Kapoor Taran Bajaj Mansi Jhingran Satish Kaushik Suhail Nayyar Rajesh Kumar Sharma Harpreet Singh Prabhjyot Singh Manav Vij ," ""Crime"", ""Drama"", ""Thriller"" ",Udta Punjab,,,,,
tt0248126,Yashvardhan Raichand lives a very wealthy lifestyle along with his wife Nandini and two sons Rahul and Rohan. While Rahul has been adopted Yashvardhan and Nandini treat him as their own..., Hindi  Urdu ,7.5, Karan Johar Sheena Parikh ,"[ ""Karan Johar"" ]", Amitabh Bachchan Jaya Bhaduri Shah Rukh Khan Kajol Hrithik Roshan Kareena Kapoor Rani Mukerji Farida Jalal Alok Nath Johnny Lever Himani Shivpuri Aryan Khan Achala Sachdev Sushma Seth Shashikala ," ""Drama"", ""Musical"", ""Romance"" ",Kabhi Khushi Kabhie Gham...,,,,,
tt0347304,Naina an introverted perpetually depressed girl's life changes when she meets Aman. But Aman has a secret of his own which changes their lives forever. Embroiled in all this is Rohit Naina's best friend who conceals his love for her., Hindi Urdu Gujarati Panjabi ,8, Niranjan Iyengar Karan Johar ,"[ ""Nikkhil Advani"" ]", Shah Rukh Khan Preity Zinta Saif Ali Khan Jaya Bhaduri Sushma Seth Reema Lagoo Lillete Dubey Delnaaz Irani Rani Mukerji Sonali Bendre Michael Pinkhas Sanjay Kapoor Sulabha Arya Athit Naik Princey Shukla ," ""Comedy"", ""Drama"", ""Romance"" ",Kal Ho Naa Ho,,,,,
tt3043252,Parched' is a story about women set in the heart of parched rural landscape of Rajasthan India. It traces the bittersweet tale of four ordinary women Rani Lajjo Bijli and Janaki. We see..., Hindi  ,7.6, Supratik Sen Leena Yadav ,"[ ""Leena Yadav"" ]", Tannishtha Chatterjee Radhika Apte Lehar Khan Priyanka Khan Dinesh Pradhan Farrukh Jaffar Kanwar Jagdish Riddhi Sen Tarun Jasor Praveen Choudhary Prince Gehlot Nancy Nisa Beso Anuradha Adwani Sumeet Vyas Ramesh Ji ," ""Drama"" ",Parched,,,,,
tt0066763,The classic story of a terminally ill man who wishes to live life to the full before the inevitable occurs as told by his best friend., Hindi ,8.9, Hrishikesh Mukherjee Hrishikesh Mukherjee ,"[ ""Hrishikesh Mukherjee"" ]", Rajesh Khanna Amitabh Bachchan Sumita Sanyal Ramesh Deo Seema Deo Asit Kumar Sen Dev Kishan Atam Prakash Lalita Kumari Savita Brahm Bhardwaj Gurnam Singh Lalita Pawar Durga Khote Dara Singh ," ""Drama"" ",Anand,,,,,
tt2338151,A stranger in the city asks questions no one has asked before. Known only by his initials P.K.'s innocent questions and childlike curiosity will take him on a journey of love laughter and letting go., Hindi  Urdu ,8.2, Rajkumar Hirani Abhijat Joshi ,"[ ""Rajkumar Hirani"" ]", Aamir Khan Anushka Sharma Sanjay Dutt Boman Irani Saurabh Shukla Sushant Singh Rajput Parikshat Sahni Amardeep Jha Reema Debnath Dheerendra Dwivedi Sai Gundewar Ram P. Sethi Rukhsar Aamir Arun Bali ," ""Comedy"", ""Drama"", ""Romance"" ",PK,,,,,
tt0169102,The people of a small village in Victorian India stake their future on a game of cricket against their ruthless British rulers., Hindi  Awadhi Urdu ,8.2, Ashutosh Gowariker Ashutosh Gowariker ,"[ ""Ashutosh Gowariker"" ]", Aamir Khan Gracy Singh Rachel Shelley Paul Blackthorne Suhasini Mulay Kulbhushan Kharbanda Raghuvir Yadav Rajendra Gupta Rajesh Vivek Shri Vallabh Vyas Javed Khan Rajendranath Zutshi Akhilendra Mishra Daya Shankar Pandey Yashpal Sharma ," ""Adventure"", ""Drama"", ""Musical"" ",Lagaan: Once Upon a Time in India,,,,,
tt1188996,An Indian Muslim man with Asperger's syndrome takes a challenge to speak to the President seriously and embarks on a cross-country journey., Hindi Urdu  ,8, Shibani Bathija Shibani Bathija ,"[ ""Karan Johar"" ]", Shah Rukh Khan Kajol Katie A. Keane Kenton Duty Benny Nieves Christopher B. Duncan Jimmy Shergill Sonya Jehan Parvin Dabas Arjun Mathur Sugandha Garg Zarina Wahab S.M. Zaheer Arif Zakaria Vinay Pathak ," ""Adventure"", ""Drama"", ""Thriller"" ",My Name Is Khan,,,,,
tt0808357,During World War II era a young woman Wang Jiazhi gets swept up in a dangerous game of emotional intrigue with a powerful political figure Mr. Yee., Mandarin Japanese  Shanghainese Hindi Cantonese ,7.6, Eileen Chang James Schamus ,"[ ""Ang Lee"" ]", Tony Chiu Wai Leung Wei Tang Joan Chen Leehom Wang Chung-Hua Tou Zhi-Ying Zhu Ying-Hsuan Kao Lawrence Ko Johnson Yuen Kar Lok Chin Yan Su Saifei He Ruhui Song Anupam Kher Jie Liu ," ""Drama"", ""Romance"", ""Thriller"" ",Lust Caution,,,,,
